position,input Position,company,location,input City,salary
"Associate Director, Social Creative, GQ Sports",Creative Director,Conde Nast,"New York, NY
+2 locations",New York City,80.0
Creative Director,Creative Director,Havas Group,"New York, NY
+1 location",New York City,96.65
"Creative Director, Marketing",Creative Director,Paramount+,"Remote in New York, NY 10036
+1 location",New York City,96.7
Associate Creative Director,Creative Director,B-Reel,"New York, NY 10013 
(Tribeca area)",New York City,126.5
"Director, Global Creative Packaging, MAC",Creative Director,The Estée Lauder Companies,"New York, NY
+1 location",New York City,114.0
Creative Director,Creative Director,Showtime,"New York, NY 10036",New York City,101.9
Creative Director,Creative Director,Billie,"Remote in New York, NY",New York City,152.0
Creative Director,Creative Director,Razorfish,"New York, NY 10014 
(SoHo area)
+1 location",New York City,114.5
Associate Creative Director,Creative Director,Zero Studios,"Remote in New York, NY 10014",New York City,112.0
"Creative Director, Copy",Creative Director,Piano,"Remote in New York, NY 10003",New York City,175.0
Creative Director,Creative Director,Blink Fitness,"New York, NY 10016 
(Gramercy area)",New York City,159.5
"Creative Director, Blue Studio",Creative Director,IBM,"New York, NY 10001 
(Chelsea area)
+1 location",New York City,119.0
Creative Director,Creative Director,Hearst Media Services,"New York, NY 10019 
(Midtown area)",New York City,134.0
Group Creative Director - Kettle,Creative Director,Kettle,"Remote in New York, NY 10014
+1 location",New York City,119.0
Associate Creative Director Boston / New York / Bay Area / C...,Creative Director,Neoscape,"Remote in New York, NY",New York City,75.6835
"Associate Creative Director, Refinery29",Creative Director,VICE MEDIA GROUP,"Brooklyn, NY 11249 
(Chelsea area)
+1 location",New York City,100.3
"Associate Director, Social Creative, GQ Sports",Creative Director,Conde Nast,"New York, NY
+2 locations",New York City,80.0
Creative Director,Creative Director,Havas Group,"New York, NY
+1 location",New York City,96.65
"Creative Director, Marketing",Creative Director,Paramount+,"Remote in New York, NY 10036
+1 location",New York City,96.7
Associate Creative Director,Creative Director,B-Reel,"New York, NY 10013 
(Tribeca area)",New York City,126.5
"Director, Global Creative Packaging, MAC",Creative Director,The Estée Lauder Companies,"New York, NY
+1 location",New York City,114.0
Creative Director,Creative Director,Showtime,"New York, NY 10036",New York City,101.9
Creative Director,Creative Director,Billie,"Remote in New York, NY",New York City,152.0
Creative Director,Creative Director,Razorfish,"New York, NY 10014 
(SoHo area)
+1 location",New York City,114.5
Associate Creative Director,Creative Director,Zero Studios,"Remote in New York, NY 10014",New York City,112.0
"Creative Director, Copy",Creative Director,Piano,"Remote in New York, NY 10003",New York City,175.0
Creative Director,Creative Director,Blink Fitness,"New York, NY 10016 
(Gramercy area)",New York City,159.5
"Creative Director, Blue Studio",Creative Director,IBM,"New York, NY 10001 
(Chelsea area)
+1 location",New York City,119.0
Creative Director,Creative Director,Hearst Media Services,"New York, NY 10019 
(Midtown area)",New York City,134.0
Group Creative Director - Kettle,Creative Director,Kettle,"Remote in New York, NY 10014
+1 location",New York City,119.0
Associate Creative Director Boston / New York / Bay Area / C...,Creative Director,Neoscape,"Remote in New York, NY",New York City,75.6835
"Associate Creative Director, Refinery29",Creative Director,VICE MEDIA GROUP,"Brooklyn, NY 11249 
(Chelsea area)
+1 location",New York City,100.3
Associate Creative Director Boston / New York / Bay Area / C...,Creative Director,Neoscape,"Remote in New York, NY",New York City,75.6835
"Associate Director, Social Creative, GQ Sports",Creative Director,Conde Nast,"New York, NY
+2 locations",New York City,80.0
Creative Director,Creative Director,Havas Group,"New York, NY
+1 location",New York City,96.65
Creative Director,Creative Director,Hearst Media Services,"New York, NY 10019 
(Midtown area)",New York City,134.0
Associate Creative Director,Creative Director,B-Reel,"New York, NY 10013 
(Tribeca area)",New York City,126.5
Creative Director,Creative Director,Razorfish,"New York, NY 10014 
(SoHo area)
+1 location",New York City,114.5
Creative Director,Creative Director,Showtime,"New York, NY 10036",New York City,101.9
Creative Director,Creative Director,Blink Fitness,"New York, NY 10016 
(Gramercy area)",New York City,159.5
"Creative Director, Marketing",Creative Director,Paramount+,"Remote in New York, NY 10036
+1 location",New York City,96.7
Creative Director,Creative Director,Gravity Road,"New York, NY 10012 
(Little Italy area)",New York City,180.0
"Associate Creative Director, Refinery29",Creative Director,VICE MEDIA GROUP,"Brooklyn, NY 11249 
(Chelsea area)
+1 location",New York City,100.3
"Creative Director, Copy",Creative Director,Piano,"Remote in New York, NY 10003",New York City,175.0
"Creative Director, Blue Studio",Creative Director,IBM,"New York, NY 10001 
(Chelsea area)
+1 location",New York City,119.0
"Director, Global Creative Packaging, MAC",Creative Director,The Estée Lauder Companies,"New York, NY
+1 location",New York City,114.0
"Associate Director, Creative Strategy",Creative Director,"Employment Opportunities at BuzzFeed, Inc.","Remote in New York, NY",New York City,114.5
Associate Creative Director (Freelance) - Remote,Creative Director,Revolt Media & TV,"Remote in New York, NY 10018",New York City,94.95
Creative Director,Creative Director,Spring Health,"Remote in New York, NY 10003",New York City,118.5
"Creative Director, Shared Studio",Creative Director,The New York Times,"New York, NY",New York City,119.0
Creative Director,Creative Director,Skilled Creative,"Remote in New York, NY 10004",New York City,103.85
Associate Creative Director,Creative Director,Flex,"Remote in New York, NY",New York City,142.5
"Creative Direction, Content Director",Creative Director,Accenture,"New York, NY
+4 locations",New York City,173.74
Creative Director,Creative Director,Dolls Kill,"Los Angeles, CA",Los Angeles,190.5
Creative Director,Creative Director,Netflix,"Los Angeles, CA",Los Angeles,173.5
Creative Director,Creative Director,Paramount+,"Los Angeles, CA 90038",Los Angeles,92.35
Creative Director,Creative Director,Trailer Park,"Hybrid remote in Los Angeles, CA 90028",Los Angeles,103.85
"Director, Creative Advertising",Creative Director,Lionsgate,"Santa Monica, CA 90404",Los Angeles,114.0
"Director, Creative Marketing",Creative Director,Paramount+,"Burbank, CA 91505",Los Angeles,110.15
Metaverse Creative Director,Creative Director,Accenture,"Los Angeles, CA 90013 
(Downtown area)",Los Angeles,211.458
Associate Creative Director (Freelance) - Remote,Creative Director,Revolt Media & TV,"Remote in Los Angeles, CA 90028",Los Angeles,93.0
Executive Creative Director,Creative Director,Movement Strategy,"Los Angeles, CA
+2 locations",Los Angeles,125.5
Creative Director,Creative Director,Korrus,"Los Angeles, CA 90012",Los Angeles,132.5
Creative Director,Creative Director,Golin,"Los Angeles, CA",Los Angeles,185.0
Creative Director,Creative Director,DigDeep Right to Water Project,"Hybrid remote in Los Angeles, CA 90021",Los Angeles,110.85
Brand Creative Director,Creative Director,NTWRK,"Los Angeles, CA 90079 
(Downtown area)",Los Angeles,105.5
"Creative Director, FX Networks",Creative Director,Disney Media & Entertainment Distribution,"Los Angeles, CA",Los Angeles,152.0
Creative Director (Remote),Creative Director,Olaplex,"Remote in Los Angeles, CA",Los Angeles,132.5
"Director, eCommerce Creative – Def Jam",Creative Director,Def Jam,"Santa Monica, CA 90404",Los Angeles,122.0
"Associate Creative Director, Social Creative (Freeform)",Creative Director,Walt Disney Television,"Burbank, CA",Los Angeles,133.0
Associate Creative Director,Creative Director,attn:,"Remote in Los Angeles, CA",Los Angeles,124.5
"Associate Creative Director, Video",Creative Director,Blizzard Entertainment,"Santa Monica, CA 90405",Los Angeles,130.0
Associate Creative Director,Creative Director,Happylucky Inc,"Los Angeles, CA 90028",Los Angeles,118.0
"Director, Creative Services (Graphic Designer)",Creative Director,Warner Music Group,"Los Angeles, CA 90028 
(Hollywood area)",Los Angeles,70.5
Creative Director,Creative Director,IMAX Corporation,"Los Angeles, CA 90094",Los Angeles,91.15
Creative Director - REMOTE WORK,Creative Director,BairesDev,"Remote in Los Angeles, CA",Los Angeles,143.5
Creative Director,Creative Director,Dolls Kill,"Los Angeles, CA",Los Angeles,190.5
Creative Director,Creative Director,Netflix,"Los Angeles, CA",Los Angeles,173.5
Creative Director,Creative Director,Paramount+,"Los Angeles, CA 90038",Los Angeles,92.35
Creative Director,Creative Director,Trailer Park,"Hybrid remote in Los Angeles, CA 90028",Los Angeles,103.85
"Director, Creative Advertising",Creative Director,Lionsgate,"Santa Monica, CA 90404",Los Angeles,114.0
Metaverse Creative Director,Creative Director,Accenture,"Los Angeles, CA 90013 
(Downtown area)",Los Angeles,211.458
Executive Creative Director,Creative Director,Movement Strategy,"Los Angeles, CA
+2 locations",Los Angeles,125.5
Creative Director,Creative Director,Korrus,"Los Angeles, CA 90012",Los Angeles,132.5
"Director, Creative Marketing",Creative Director,Paramount+,"Burbank, CA 91505",Los Angeles,110.15
"Director, eCommerce Creative – Def Jam",Creative Director,Def Jam,"Santa Monica, CA 90404",Los Angeles,122.0
"Associate Creative Director, Social Creative (Freeform)",Creative Director,Walt Disney Television,"Burbank, CA",Los Angeles,133.0
Creative Director (Remote),Creative Director,Olaplex,"Remote in Los Angeles, CA",Los Angeles,132.5
Associate Creative Director (Freelance) - Remote,Creative Director,Revolt Media & TV,"Remote in Los Angeles, CA 90028",Los Angeles,93.0
Creative Director,Creative Director,Golin,"Los Angeles, CA",Los Angeles,185.0
"Director, Creative Services (Graphic Designer)",Creative Director,Warner Music Group,"Los Angeles, CA 90028 
(Hollywood area)",Los Angeles,70.5
"Creative Director, FX Networks",Creative Director,Disney Media & Entertainment Distribution,"Los Angeles, CA",Los Angeles,152.0
Brand Creative Director,Creative Director,NTWRK,"Los Angeles, CA 90079 
(Downtown area)",Los Angeles,105.5
"Associate Creative Director, Video",Creative Director,Blizzard Entertainment,"Santa Monica, CA 90405",Los Angeles,130.0
Associate Creative Director,Creative Director,attn:,"Remote in Los Angeles, CA",Los Angeles,124.5
Creative Director,Creative Director,DigDeep Right to Water Project,"Hybrid remote in Los Angeles, CA 90021",Los Angeles,110.85
Creative Director,Creative Director,Buck Mason,"Los Angeles, CA 90026 
(Silver Lake area)",Los Angeles,101.1
Creative Director,Creative Director,IMAX Corporation,"Los Angeles, CA 90094",Los Angeles,91.15
Associate Creative Director,Creative Director,Happylucky Inc,"Los Angeles, CA 90028",Los Angeles,118.0
Creative Director,Creative Director,Dolls Kill,"Los Angeles, CA",Los Angeles,190.5
Creative Director,Creative Director,Netflix,"Los Angeles, CA",Los Angeles,173.5
Creative Director,Creative Director,Trailer Park,"Hybrid remote in Los Angeles, CA 90028",Los Angeles,103.85
"Director, Creative Advertising",Creative Director,Lionsgate,"Santa Monica, CA 90404",Los Angeles,114.0
Creative Director,Creative Director,Paramount+,"Los Angeles, CA 90038",Los Angeles,92.35
Executive Creative Director,Creative Director,Movement Strategy,"Los Angeles, CA
+2 locations",Los Angeles,125.5
"Director, Creative Marketing",Creative Director,Paramount+,"Burbank, CA 91505",Los Angeles,110.15
"Associate Creative Director, Social Creative (Freeform)",Creative Director,Walt Disney Television,"Burbank, CA",Los Angeles,133.0
"Director, eCommerce Creative – Def Jam",Creative Director,Def Jam,"Santa Monica, CA 90404",Los Angeles,122.0
Metaverse Creative Director,Creative Director,Accenture,"Los Angeles, CA 90013 
(Downtown area)",Los Angeles,211.458
Brand Creative Director,Creative Director,NTWRK,"Los Angeles, CA 90079 
(Downtown area)",Los Angeles,105.5
Creative Director,Creative Director,Korrus,"Los Angeles, CA 90012",Los Angeles,132.5
Creative Director,Creative Director,Golin,"Los Angeles, CA",Los Angeles,185.0
Creative Director,Creative Director,IMAX Corporation,"Los Angeles, CA 90094",Los Angeles,91.15
"Creative Director, FX Networks",Creative Director,Disney Media & Entertainment Distribution,"Los Angeles, CA",Los Angeles,152.0
Creative Director,Creative Director,Buck Mason,"Los Angeles, CA 90026 
(Silver Lake area)",Los Angeles,101.1
Freelance Creative Director,Creative Director,Becore,"Los Angeles, CA 90049",Los Angeles,102.15
"Director, Creative Services (Graphic Designer)",Creative Director,Warner Music Group,"Los Angeles, CA 90028 
(Hollywood area)",Los Angeles,70.5
Creative Director,Creative Director,DigDeep Right to Water Project,"Hybrid remote in Los Angeles, CA 90021",Los Angeles,110.85
Creative Director - REMOTE WORK,Creative Director,BairesDev,"Remote in Los Angeles, CA",Los Angeles,143.5
Associate Creative Director (Freelance) - Remote,Creative Director,Revolt Media & TV,"Remote in Los Angeles, CA 90028",Los Angeles,93.0
Creative Director (Remote),Creative Director,Olaplex,"Remote in Los Angeles, CA",Los Angeles,132.5
Associate Creative Director,Creative Director,attn:,"Remote in Los Angeles, CA",Los Angeles,124.5
Creative Director,Creative Director,"Luxury Matchmaking Services, L.L.C.","Los Angeles, CA 90017",Los Angeles,84.7
Metaverse Creative Director,Creative Director,Accenture,"Houston, TX 77002 
(Downtown area)
+2 locations",Houston,211.458
Director of Creative Media - Football,Creative Director,Rice University,"Houston, TX",Houston,50.8
"Director I, Design Engineering",Creative Director,Fluor Corporation,"Sugar Land, TX",Houston,135.0
Associate Creative Director - Design - Deloitte’s Green Dot...,Creative Director,Deloitte,"Houston, TX 77002 
(Downtown area)
+2 locations",Houston,136.0
Design Director,Creative Director,IA Interior Architects,"Houston, TX",Houston,130.0
Business Development Director - Smart Connected Products Des...,Creative Director,Accenture,"Houston, TX 77002 
(Downtown area)",Houston,149.2495
"Creative Director, Experience Design-Deloitte’s Green Dot Ag...",Creative Director,Deloitte,"Houston, TX 77002 
(Downtown area)",Houston,111.05
Senior Designer/Art Director,Creative Director,Pennebaker,"Houston, TX 77008 
(Heights area)",Houston,80.0
Sr. Director Solutions Design,Creative Director,The Crane Companies,"Houston, TX 77073",Houston,131.5
Sr. Director Solutions Design,Creative Director,Crane Worldwide Logistics LLC,"Houston, TX 77073",Houston,100.15
Director of Digital Design (Autodesk),Creative Director,"BGE, Inc.","Houston, TX 77042 
(Westchase area)",Houston,110.15
Creative Director,Creative Director,The Christian Broadcasting Network,Remote in United States,Houston,112.7
"UX Design Director, Analytics & Recommendations",Creative Director,Indeed,Remote in United States,Houston,216.5
Metaverse Creative Director,Creative Director,Accenture,"Houston, TX 77002 
(Downtown area)
+2 locations",Houston,211.458
Director of Creative Media - Football,Creative Director,Rice University,"Houston, TX",Houston,50.8
"Director I, Design Engineering",Creative Director,Fluor Corporation,"Sugar Land, TX",Houston,135.0
Associate Creative Director - Design - Deloitte’s Green Dot...,Creative Director,Deloitte,"Houston, TX 77002 
(Downtown area)
+2 locations",Houston,136.0
Design Director,Creative Director,IA Interior Architects,"Houston, TX",Houston,130.0
Business Development Director - Smart Connected Products Des...,Creative Director,Accenture,"Houston, TX 77002 
(Downtown area)",Houston,149.2495
Senior Designer/Art Director,Creative Director,Pennebaker,"Houston, TX 77008 
(Heights area)",Houston,80.0
"Creative Director, Experience Design-Deloitte’s Green Dot Ag...",Creative Director,Deloitte,"Houston, TX 77002 
(Downtown area)",Houston,111.05
Sr. Director Solutions Design,Creative Director,The Crane Companies,"Houston, TX 77073",Houston,131.5
Sr. Director Solutions Design,Creative Director,Crane Worldwide Logistics LLC,"Houston, TX 77073",Houston,100.15
Director of Digital Design (Autodesk),Creative Director,"BGE, Inc.","Houston, TX 77042 
(Westchase area)",Houston,110.15
