position,input Position,company,location,input City,salary
Associate Creative Director,Creative Director,B-Reel,"New York, NY 10013 
(Tribeca area)",New York City,110.8
"Group Creative Director, CPOS",Creative Director,Square,"New York, NY",New York City,151.0
Creative Director,Creative Director,dentsu,"New York, NY 10017 
(Murray Hill area)",New York City,144.5
Creative Director,Creative Director,ONE37pm,"Hybrid remote in New York, NY",New York City,123.5
Creative Director,Creative Director,Billie,"Remote in New York, NY",New York City,145.0
Creative Director,Creative Director,Thinkingbox,"New York, NY",New York City,128.0
Creative Director,Creative Director,Dentsu Media,"New York, NY 10017 
(Murray Hill area)",New York City,120.0
Associate Creative Director,Creative Director,Flex,"Remote in New York, NY",New York City,142.5
"Senior Director, Creative Strategy",Creative Director,Braze,"New York, NY",New York City,183.5
Creative Director,Creative Director,Showtime,"New York, NY 10036",New York City,101.9
Creative Director,Creative Director,Blink Fitness,"New York, NY 10016 
(Gramercy area)",New York City,159.5
"Manager, Creative Director",Creative Director,Capital One,"New York, NY 10017 
(Midtown area)
+1 location",New York City,115.5
"Creative Director, Copy",Creative Director,Piano,"Remote in New York, NY 10003",New York City,175.0
Creative Director,Creative Director,Hearst Media Services,"New York, NY 10019 
(Midtown area)",New York City,118.0
"Associate Creative Director, Art",Creative Director,Consensys,"Remote in New York, NY 10036
+1 location",New York City,132.5
Creative Director,Creative Director,Dandy,"New York, NY",New York City,218.5
"Associate Director, Creative Director",Creative Director,Dentsu Media,"New York, NY 10017 
(Murray Hill area)",New York City,87.0
Creative Director,Creative Director,Leap,"New York, NY",New York City,111.1
"Creative Director, BX - SVP",Creative Director,IPG Health,"New York, NY
+2 locations",New York City,78.2
"Creative Director, Marketing",Creative Director,Paramount+,"Remote in New York, NY 10036
+1 location",New York City,129.0
"Associate Director, Creative Strategy",Creative Director,"Employment Opportunities at BuzzFeed, Inc.","Remote in New York, NY",New York City,86.5
Creative Director,Creative Director,Skilled Creative,"Remote in New York, NY 10004",New York City,125.0
Executive Creative Director,Creative Director,SoulCycle HQ,"New York, NY",New York City,127.0
Creative Director,Creative Director,Spring Health,"Remote in New York, NY 10003",New York City,118.5
Creative Director,Creative Director,ESI Design,"New York, NY 10003 
(Flatiron area)",New York City,120.5
"SVP, Creative Director - Art or Copy",Creative Director,Saatchi & Saatchi (We Are Saatchi),"New York, NY 10014 
(SoHo area)",New York City,164.5
Associate Creative Director,Creative Director,B-Reel,"New York, NY 10013 
(Tribeca area)",New York City,110.8
"Group Creative Director, CPOS",Creative Director,Square,"New York, NY",New York City,151.0
Creative Director,Creative Director,dentsu,"New York, NY 10017 
(Murray Hill area)",New York City,144.5
Creative Director,Creative Director,ONE37pm,"Hybrid remote in New York, NY",New York City,123.5
Creative Director,Creative Director,Billie,"Remote in New York, NY",New York City,145.0
Creative Director,Creative Director,Thinkingbox,"New York, NY",New York City,128.0
Creative Director,Creative Director,Dentsu Media,"New York, NY 10017 
(Murray Hill area)",New York City,120.0
Associate Creative Director,Creative Director,Flex,"Remote in New York, NY",New York City,142.5
"Senior Director, Creative Strategy",Creative Director,Braze,"New York, NY",New York City,183.5
Creative Director,Creative Director,Showtime,"New York, NY 10036",New York City,101.9
Creative Director,Creative Director,Blink Fitness,"New York, NY 10016 
(Gramercy area)",New York City,159.5
"Manager, Creative Director",Creative Director,Capital One,"New York, NY 10017 
(Midtown area)
+1 location",New York City,115.5
"Creative Director, Copy",Creative Director,Piano,"Remote in New York, NY 10003",New York City,175.0
Creative Director,Creative Director,Hearst Media Services,"New York, NY 10019 
(Midtown area)",New York City,118.0
"Associate Creative Director, Art",Creative Director,Consensys,"Remote in New York, NY 10036
+1 location",New York City,132.5
Creative Director,Creative Director,Dandy,"New York, NY",New York City,218.5
"Associate Director, Creative Director",Creative Director,Dentsu Media,"New York, NY 10017 
(Murray Hill area)",New York City,87.0
Creative Director,Creative Director,Leap,"New York, NY",New York City,111.1
"Creative Director, BX - SVP",Creative Director,IPG Health,"New York, NY
+2 locations",New York City,78.2
"Creative Director, Marketing",Creative Director,Paramount+,"Remote in New York, NY 10036
+1 location",New York City,129.0
"Associate Director, Creative Strategy",Creative Director,"Employment Opportunities at BuzzFeed, Inc.","Remote in New York, NY",New York City,86.5
Creative Director,Creative Director,Skilled Creative,"Remote in New York, NY 10004",New York City,125.0
Executive Creative Director,Creative Director,SoulCycle HQ,"New York, NY",New York City,127.0
Creative Director,Creative Director,Spring Health,"Remote in New York, NY 10003",New York City,118.5
Creative Director,Creative Director,ESI Design,"New York, NY 10003 
(Flatiron area)",New York City,120.5
"SVP, Creative Director - Art or Copy",Creative Director,Saatchi & Saatchi (We Are Saatchi),"New York, NY 10014 
(SoHo area)",New York City,164.5
Associate Creative Director,Creative Director,B-Reel,"New York, NY 10013 
(Tribeca area)",New York City,110.8
Creative Director,Creative Director,Thinkingbox,"New York, NY",New York City,128.0
Creative Director,Creative Director,dentsu,"New York, NY 10017 
(Murray Hill area)",New York City,144.5
Creative Director,Creative Director,ONE37pm,"Hybrid remote in New York, NY",New York City,123.5
"Group Creative Director, CPOS",Creative Director,Square,"New York, NY",New York City,151.0
Creative Director,Creative Director,Billie,"Remote in New York, NY",New York City,145.0
Associate Creative Director,Creative Director,Flex,"Remote in New York, NY",New York City,142.5
"Group Creative Director, Creative Technologist | Web3",Creative Director,Razorfish,"New York, NY 10014 
(SoHo area)",New York City,158.0
Creative Director,Creative Director,Blink Fitness,"New York, NY 10016 
(Gramercy area)",New York City,159.5
Creative Director,Creative Director,Dentsu Media,"New York, NY 10017 
(Murray Hill area)",New York City,120.0
Creative Director,Creative Director,Spring Health,"Remote in New York, NY 10003",New York City,118.5
"Senior Director, Creative Strategy",Creative Director,Braze,"New York, NY",New York City,183.5
Creative Director,Creative Director,Dandy,"New York, NY",New York City,218.5
