position,input Position,company,location,input City,salary
(Junior / Senior) Data Scientist - Sports Analytics,data scientist,Zelus Analytics,"Remote in Austin, TX
+1 location",austin,112.5
Data Scientist,data scientist,ClosedLoop,"Remote in Austin, TX 78704",austin,138.5
Data Scientist,data scientist,Join Parachute,"Austin, TX 78704 
(Bouldin Creek area)",austin,115.0
Data Scientist at Austin,data scientist,Join Parachute,"Austin, TX",austin,115.0
Data Scientist - 4418074,data scientist,Accenture,"Austin, TX
+2 locations",austin,222.56
Associate Data Scientist (Remote),data scientist,Adlucent,"Remote in Austin, TX 78723",austin,110.05
Data Engineer/Data Scientist,data scientist,PFL,"Austin, TX 78727",austin,130.0
Data Scientist - remote,data scientist,Kershner Trading,"Remote in Austin, TX 78758",austin,135.0
Data Scientist,data scientist,Samsung Electronics,"Austin, TX 78754",austin,114.0
Data Scientist - Remote,data scientist,DataStream Cyber Insurance,"Remote in Austin, TX",austin,122.5
Jr. Data Scientist,data scientist,Deloitte,"Austin, TX
+11 locations",austin,109.35
Clinical Research Data Scientist,data scientist,Babson Diagnostics,"Austin, TX 78753 
(Heritage Hills area)",austin,100.0
Junior Analyst / Data Scientist,data scientist,Heading Health,"Remote in Austin, TX 78746",austin,57.5
Junior Data Scientist,data scientist,Kestra Financial,"Austin, TX 78735",austin,97.5
Machine Learning / Data Scientist (Hybrid Work),data scientist,"Agilent Technologies, Inc.","Hybrid remote in Cedar Creek, TX 78612",austin,130.5
Staff Product Scientist,data scientist,Indeed,"Remote in Austin, TX",austin,201.5
Senior Data Scientist - Jobseeker Ranking,data scientist,Indeed,"Austin, TX
+17 locations",austin,170.0
Data Scientist (HID3092),data scientist,Assa Abloy,"Hybrid remote in Austin, TX
+1 location",austin,112.65
Data Scientist,data scientist,"Kyndryl, Inc.","Austin, TX
+1 location",austin,120.5
Data Scientist,data scientist,Expedite Technology Solutions,"Austin, TX",austin,125.0
Data Scientist,data scientist,Recruiting From Scratch,"Remote in Austin, TX 73301
+1 location",austin,180.0
Data Scientist / Environmental Analyst,data scientist,GSI Environmental Inc.,"Austin, TX 78759 
(Arboretum area)",austin,71.69999999999999
Data Scientist,data scientist,EasyPost,"Austin, TX",austin,111.95
Data Scientist,data scientist,Wise Equation Solutions,"Austin, TX",austin,115.5
Junior Data Scientist,data scientist,ANALYTOS,"Austin, TX
+1 location",austin,98.45
Data Scientist,data scientist,NexWave Talent Management Solutions Pvt Ltd.,"Austin, TX",austin,140.4
Wellbeing Data Scientist - Trust & Safety,data scientist,TikTok,"Austin, TX 78745
+3 locations",austin,131.5
Sr. BA Data Analyst,data scientist,Dutech,"Austin, TX",austin,114.4
Lead Data Scientist,data scientist,Tensure Consulting,"Remote in Austin, TX",austin,169.0
(Junior / Senior) Data Scientist - Sports Analytics,data scientist,Zelus Analytics,"Remote in Austin, TX
+1 location",austin,112.5
